Date,Open,High,Low,Close,Adj Close,Volume
1962-01-02,4.060000,4.060000,4.060000,4.060000,4.060000,0
1962-01-03,4.030000,4.030000,4.030000,4.030000,4.030000,0
1962-01-04,3.990000,3.990000,3.990000,3.990000,3.990000,0
1962-01-05,4.020000,4.020000,4.020000,4.020000,4.020000,0
1962-01-07,null,null,null,null,null,null
1962-01-08,4.030000,4.030000,4.030000,4.030000,4.030000,0
1962-01-09,4.050000,4.050000,4.050000,4.050000,4.050000,0
1962-01-10,4.070000,4.070000,4.070000,4.070000,4.070000,0
1962-01-11,4.080000,4.080000,4.080000,4.080000,4.080000,0
1962-01-12,4.080000,4.080000,4.080000,4.080000,4.080000,0
1962-01-14,null,null,null,null,null,null
1962-01-15,4.100000,4.100000,4.100000,4.100000,4.100000,0
1962-01-16,4.130000,4.130000,4.130000,4.130000,4.130000,0
1962-01-17,4.120000,4.120000,4.120000,4.120000,4.120000,0
1962-01-18,4.110000,4.110000,4.110000,4.110000,4.110000,0
1962-01-19,4.110000,4.110000,4.110000,4.110000,4.110000,0
1962-01-21,null,null,null,null,null,null
1962-01-22,4.090000,4.090000,4.090000,4.090000,4.090000,0
1962-01-23,4.110000,4.110000,4.110000,4.110000,4.110000,0
1962-01-24,4.100000,4.100000,4.100000,4.100000,4.100000,0
1962-01-25,4.110000,4.110000,4.110000,4.110000,4.110000,0
1962-01-26,4.110000,4.110000,4.110000,4.110000,4.110000,0
1962-01-28,null,null,null,null,null,null
1962-01-29,4.120000,4.120000,4.120000,4.120000,4.120000,0
1962-01-30,4.110000,4.110000,4.110000,4.110000,4.110000,0
1962-01-31,4.100000,4.100000,4.100000,4.100000,4.100000,0
1962-02-01,4.090000,4.090000,4.090000,4.090000,4.090000,0
1962-02-02,4.080000,4.080000,4.080000,4.080000,4.080000,0
1962-02-04,null,null,null,null,null,null
1962-02-05,4.070000,4.070000,4.070000,4.070000,4.070000,0
1962-02-06,4.060000,4.060000,4.060000,4.060000,4.060000,0
1962-02-07,4.070000,4.070000,4.070000,4.070000,4.070000,0
1962-02-08,4.070000,4.070000,4.070000,4.070000,4.070000,0
1962-02-09,4.050000,4.050000,4.050000,4.050000,4.050000,0
1962-02-11,null,null,null,null,null,null
1962-02-12,null,null,null,null,null,null
1962-02-13,4.030000,4.030000,4.030000,4.030000,4.030000,0
1962-02-14,4.030000,4.030000,4.030000,4.030000,4.030000,0
1962-02-15,4.020000,4.020000,4.020000,4.020000,4.020000,0
1962-02-16,4.020000,4.020000,4.020000,4.020000,4.020000,0
1962-02-18,null,null,null,null,null,null
1962-02-19,4.010000,4.010000,4.010000,4.010000,4.010000,0
1962-02-20,4.050000,4.050000,4.050000,4.050000,4.050000,0
1962-02-21,4.030000,4.030000,4.030000,4.030000,4.030000,0
1962-02-22,null,null,null,null,null,null
1962-02-23,4.020000,4.020000,4.020000,4.020000,4.020000,0
1962-02-25,null,null,null,null,null,null
1962-02-26,4.000000,4.000000,4.000000,4.000000,4.000000,0
1962-02-27,4.010000,4.010000,4.010000,4.010000,4.010000,0
1962-02-28,4.000000,4.000000,4.000000,4.000000,4.000000,0
1962-03-01,3.980000,3.980000,3.980000,3.980000,3.980000,0
1962-03-02,3.980000,3.980000,3.980000,3.980000,3.980000,0
1962-03-04,null,null,null,null,null,null
1962-03-05,4.000000,4.000000,4.000000,4.000000,4.000000,0
1962-03-06,4.010000,4.010000,4.010000,4.010000,4.010000,0
1962-03-07,4.000000,4.000000,4.000000,4.000000,4.000000,0
1962-03-08,3.980000,3.980000,3.980000,3.980000,3.980000,0
1962-03-09,3.960000,3.960000,3.960000,3.960000,3.960000,0
1962-03-11,null,null,null,null,null,null
1962-03-12,3.940000,3.940000,3.940000,3.940000,3.940000,0
1962-03-13,3.920000,3.920000,3.920000,3.920000,3.920000,0
1962-03-14,3.930000,3.930000,3.930000,3.930000,3.930000,0
1962-03-15,3.960000,3.960000,3.960000,3.960000,3.960000,0
1962-03-16,3.960000,3.960000,3.960000,3.960000,3.960000,0
1962-03-18,null,null,null,null,null,null
1962-03-19,3.930000,3.930000,3.930000,3.930000,3.930000,0
1962-03-20,3.910000,3.910000,3.910000,3.910000,3.910000,0
1962-03-21,3.860000,3.860000,3.860000,3.860000,3.860000,0
1962-03-22,3.830000,3.830000,3.830000,3.830000,3.830000,0
1962-03-23,3.870000,3.870000,3.870000,3.870000,3.870000,0
1962-03-25,null,null,null,null,null,null
1962-03-26,3.890000,3.890000,3.890000,3.890000,3.890000,0
1962-03-27,3.900000,3.900000,3.900000,3.900000,3.900000,0
1962-03-28,3.900000,3.900000,3.900000,3.900000,3.900000,0
1962-03-29,3.900000,3.900000,3.900000,3.900000,3.900000,0
