Date,Open,High,Low,Close,Adj Close,Volume
2000-03-23,96.593803,97.562500,96.468803,97.062500,97.062500,15482
2000-03-24,97.093803,97.250000,96.312500,96.375000,96.375000,21810
2000-03-26,null,null,null,null,null,null
2000-03-27,96.000000,96.187500,95.656197,96.093803,96.093803,14955
2000-03-28,96.125000,96.343803,95.843803,96.156197,96.156197,11153
2000-03-29,96.218803,96.343803,96.031197,96.093803,96.093803,14533
2000-03-30,96.062500,97.218803,95.937500,97.218803,97.218803,9267
2000-03-31,97.250000,97.656197,96.937500,97.656197,97.656197,15789
2000-04-02,null,null,null,null,null,null
2000-04-03,97.812500,97.875000,97.312500,97.812500,97.812500,15888
2000-04-04,97.843803,99.687500,97.593803,98.687500,98.687500,11257
2000-04-05,98.531197,99.250000,98.031197,98.406197,98.406197,15924
2000-04-06,98.343803,98.593803,98.031197,98.531197,98.531197,30154
2000-04-07,98.500000,99.312500,98.218803,99.312500,99.312500,17276
2000-04-09,null,null,null,null,null,null
2000-04-10,99.375000,99.750000,99.250000,99.343803,99.343803,11544
2000-04-11,99.375000,99.812500,98.218803,98.375000,98.375000,15172
2000-04-12,98.437500,98.500000,97.687500,97.718803,97.718803,24116
2000-04-13,97.781197,98.250000,97.406197,98.250000,98.250000,17902
2000-04-14,98.218803,98.625000,97.531197,98.250000,98.250000,19091
2000-04-16,null,null,null,null,null,null
2000-04-17,98.593803,99.156197,97.093803,97.156197,97.156197,12868
2000-04-18,97.062500,97.468803,96.593803,97.062500,97.062500,28332
2000-04-19,97.093803,98.000000,96.843803,98.000000,98.000000,26880
2000-04-20,98.031197,98.312500,97.718803,97.781197,97.781197,13661
2000-04-21,null,null,null,null,null,null
2000-04-23,null,null,null,null,null,null
2000-04-24,98.062500,98.500000,97.656197,97.656197,97.656197,16446
2000-04-25,97.687500,97.687500,97.031197,97.031197,97.031197,4247
2000-04-26,97.031197,97.375000,96.843803,96.906197,96.906197,10365
2000-04-27,96.906197,97.281197,96.218803,96.281197,96.281197,16236
2000-04-28,96.312500,96.843803,95.968803,96.687500,96.687500,12610
2000-04-30,null,null,null,null,null,null
2000-05-01,96.500000,96.750000,96.312500,96.468803,96.468803,11627
2000-05-02,96.406197,96.437500,95.812500,95.843803,95.843803,1678
2000-05-03,95.812500,96.062500,94.718803,94.750000,94.750000,9004
2000-05-04,94.781197,94.875000,93.843803,93.875000,93.875000,8918
2000-05-05,93.843803,94.343803,93.500000,93.500000,93.500000,16428
2000-05-07,null,null,null,null,null,null
2000-05-08,93.687500,93.875000,92.875000,92.875000,92.875000,17956
2000-05-09,92.875000,93.437500,92.812500,93.437500,93.437500,6438
2000-05-10,93.406197,94.218803,93.343803,94.062500,94.062500,17050
2000-05-11,94.062500,94.593803,93.781197,94.281197,94.281197,14830
2000-05-12,94.250000,94.625000,93.593803,93.593803,93.593803,25236
2000-05-14,null,null,null,null,null,null
2000-05-15,93.468803,94.093803,93.406197,94.000000,94.000000,13004
2000-05-16,94.531197,94.593803,94.500000,94.562500,94.562500,4994
2000-05-17,93.937500,93.937500,93.906197,93.937500,93.937500,12509
2000-05-18,null,null,null,null,null,null
2000-05-19,93.062500,93.375000,92.750000,93.218803,93.218803,15734
2000-05-21,null,null,null,null,null,null
2000-05-22,93.375000,94.125000,93.125000,94.000000,94.000000,21112
2000-05-23,93.906197,93.968803,93.531197,93.937500,93.937500,6853
2000-05-24,93.968803,94.281197,93.562500,93.687500,93.687500,15634
2000-05-25,93.687500,94.843803,93.437500,94.812500,94.812500,16096
2000-05-26,94.781197,95.250000,94.500000,95.250000,95.250000,11449
2000-05-28,null,null,null,null,null,null
2000-05-29,null,null,null,null,null,null
2000-05-30,95.218803,95.281197,94.875000,95.125000,95.125000,17219
2000-05-31,94.781197,95.656197,94.718803,95.156197,95.156197,6935
2000-06-01,95.687500,96.468803,95.656197,95.656197,95.656197,1149
2000-06-02,96.500000,97.812500,96.437500,97.000000,97.000000,82
2000-06-04,null,null,null,null,null,null
2000-06-05,96.718803,97.156197,96.718803,96.937500,96.937500,733
2000-06-06,97.062500,97.062500,96.750000,96.781197,96.781197,62
2000-06-07,96.906197,97.156197,96.843803,96.875000,96.875000,152
2000-06-08,97.281197,97.312500,97.156197,97.312500,97.312500,95
2000-06-09,97.406197,97.406197,97.250000,97.312500,97.312500,120
2000-06-11,null,null,null,null,null,null
2000-06-12,97.375000,97.375000,97.375000,97.375000,97.375000,102
2000-06-13,97.531197,97.593803,97.531197,97.593803,97.593803,102
2000-06-14,96.812500,96.968803,96.750000,96.750000,96.750000,59
2000-06-15,96.968803,96.968803,96.968803,96.968803,96.968803,275
2000-06-16,96.968803,96.968803,96.968803,96.968803,96.968803,275
2000-06-18,null,null,null,null,null,null
2000-06-19,96.968803,96.968803,96.968803,96.968803,96.968803,8
2000-06-20,97.500000,97.500000,97.437500,97.500000,97.500000,8
2000-06-21,97.156197,97.187500,97.156197,97.156197,97.156197,20
2000-06-22,96.562500,96.843803,96.343803,96.531197,96.531197,12233
2000-06-23,96.531197,96.750000,96.531197,96.531197,96.531197,10287
2000-06-25,null,null,null,null,null,null
2000-06-26,96.500000,96.500000,96.437500,96.468803,96.468803,11388
